name,price,price_new,specs,warranty
"
      Dell ChromeBook 3189 Celeron N3060 1.6 GHz 16GB eMMC - 4GB
    ","
        $109.99
      ","
          $399.00
        ","(None,)","
      Warranty: 12 months
    "
"
      MacBook Pro 13"" (2017) - QWERTY - English (US)
    ","
        $879.00
      ","
          $2,699.00
        ","
        Touch Bar - Retina - Core i7 - 3.5 GHz - SSD 512 GB - RAM 16GB
      ","
      Warranty: 12 months
    "
"
      MacBook Air 13"" (2019) - QWERTY - English (US)
    ","
        $885.38
      ","
          $1,099.00
        ","
        Retina - Core i5 - 1.6 GHz - SSD 128 GB - RAM 8GB
      ","
      Warranty: 12 months
    "
"
      Apple 85W MagSafe 2 Power Adapter
    ","
        $31.49
      ","
          $89.00
        ","(None,)","
      Warranty: 12 months
    "
"
      MagSafe Battery Pack Smartphone Accessories
    ","
        $47.00
      ","
          $99.00
        ","(None,)","
      Warranty: 12 months
    "
"
      MacBook Air 13"" (2020) - QWERTY - English (US)
    ","
        $769.00
      ","
          $1,248.00
        ","
        Retina - Core i5 - 1.1 GHz - SSD 512 GB - RAM 8GB
      ","
      Warranty: 12 months
    "
"
      MacBook Pro 16"" (2019) - QWERTY - English (US)
    ","
        $1,199.00
      ","
          $2,399.00
        ","
        Touch Bar - Retina - Core i7 - 2.6 GHz - SSD 512 GB - RAM 16GB
      ","
      Warranty: 12 months
    "
"
      MacBook Pro 13"" (2012) - QWERTY - English (US)
    ","
        $190.94
      ","
          $2,673.00
        ","
        Core i5 - 2.5 GHz - SSD 256 GB - RAM 4GB
      ","
      Warranty: 12 months
    "
"
      Acer ChromeBook C740-C4PE Celeron 3205U 1.5 GHz 16GB SSD - 4GB
    ","
        $65.00
      ","
          $596.28
        ","(None,)","
      Warranty: 12 months
    "
"
      Mac Mini Core i5-3210M 2.4GHz - HDD 500GB - RAM 4GB - QWERTY
    ","
        $103.95
      ","
          $799.00
        ","(None,)","
      Warranty: 12 months
    "
"
      Microsoft Surface Pro 5 12"" Core i5 2.6 GHz - SSD 256 GB - 8 GB QWERTY - English (US)
    ","
        $355.00
      ","
          $1,774.00
        ","(None,)","
      Warranty: 12 months
    "
"
      MacBook Pro 13"" (2017) - QWERTY - English (US)
    ","
        $380.00
      ","
          $1,299.00
        ","
        Retina - Core i5 - 2.3 GHz - SSD 128 GB - RAM 8GB
      ","
      Warranty: 12 months
    "
"
      MacBook Air 13"" (2015) - QWERTY - English (US)
    ","
        $324.11
      ","
          $1,199.00
        ","
        Core i7 - 2.2 GHz - SSD 512 GB - RAM 8GB
      ","
      Warranty: 12 months
    "
"
      MacBook Pro 15"" (2015) - QWERTY - English (US)
    ","
        $494.99
      ","
          $1,999.00
        ","
        Retina - Core i7 - 2.2 GHz - SSD 512 GB - RAM 16GB
      ","
      Warranty: 12 months
    "
"
      MacBook Air 13"" (2020) - QWERTY - English (US)
    ","
        $749.99
      ","
          $1,500.00
        ","
        Retina - Core i3 - 1.1 GHz - SSD 256 GB - RAM 8GB
      ","
      Warranty: 12 months
    "
"
      MacBook Pro 15"" (2018) - QWERTY - English (US)
    ","
        $724.00
      ","
          $2,740.00
        ","
        Touch Bar - Retina - Core i7 - 2.6 GHz - SSD 512 GB - RAM 16GB
      ","
      Warranty: 12 months
    "
"
      MacBook Air 13"" (2020) - QWERTY - English (US)
    ","
        $824.99
      ","
          $1,099.00
        ","
        Retina - Core i5 - 1.1 GHz - SSD 256 GB - RAM 8GB
      ","
      Warranty: 12 months
    "
"
      MacBook Pro 16"" (2019) - QWERTY - English (US)
    ","
        $1,588.00
      ","
          $3,190.00
        ","
        Touch Bar - Retina - Core i9 - 2.3 GHz - SSD 1000 GB - RAM 16GB
      ","
      Warranty: 12 months
    "
"
      Apple 18W Fast Charging for iPhone 11 Pro & iPad Pro
    ","
        $14.99
      ","
          $29.00
        ","(None,)","
      Warranty: 12 months
    "
"
      MacBook 12"" (2016) - QWERTY - English (US)
    ","
        $413.90
      ","
          $1,299.00
        ","
        Retina - Core m3 - 1.1 GHz - SSD 256 GB - RAM 8GB
      ","
      Warranty: 12 months
    "
"
      HP Chromebook 14 G4 Celeron 2.16 ghz 16gb eMMC - 4gb QWERTY - English (US)
    ","
        $59.99
      ","
          $118.00
        ","(None,)","
      Warranty: 12 months
    "
"
      Dell ChromeBook 11 3189 Celeron N3060 1.6 GHz 16GB eMMC - 4GB
    ","
        $109.99
      ","
          $399.00
        ","(None,)","
      Warranty: 12 months
    "
"
      MacBook Air 13"" (2013) - QWERTY - English (US)
    ","
        $205.11
      ","
          $1,297.00
        ","
        Core i5 - 1.3 GHz - SSD 128 GB - RAM 4GB
      ","
      Warranty: 12 months
    "
"
      MacBook Pro 13"" (2017) - QWERTY - English (US)
    ","
        $623.97
      ","
          $1,999.99
        ","
        Touch Bar - Retina - Core i5 - 3.1 GHz - SSD 256 GB - RAM 8GB
      ","
      Warranty: 12 months
    "
"
      MacBook Air 13"" (2019) - QWERTY - English (US)
    ","
        $731.00
      ","
          $1,599.00
        ","
        Retina - Core i5 - 1.6 GHz - SSD 256 GB - RAM 16GB
      ","
      Warranty: 12 months
    "
"
      MacBook 12"" (2017) - QWERTY - English (US)
    ","
        $324.00
      ","
          $939.00
        ","
        Retina - Core m3 - 1.2 GHz - SSD 256 GB - RAM 8GB
      ","
      Warranty: 12 months
    "
"
      MacBook Air 11"" (2012) - QWERTY - English (US)
    ","
        $136.00
      ","
          $999.00
        ","
        Core i5 - 1.7 GHz - SSD 64 GB - RAM 4GB
      ","
      Warranty: 12 months
    "
"
      iMac 27-inch Retina (Mid-2017) Core i5 3.4GHz - HDD 1 TB - 8GB
    ","
        $679.99
      ","
          $1,900.00
        ","(None,)","
      Warranty: 12 months
    "
"
      Lenovo N23 Chromebook Celeron N3060 1.6 GHz 16GB SSD - 4GB
    ","
        $54.72
      ","
          $179.00
        ","(None,)","
      Warranty: 12 months
    "
"
      HP Chromebook 14B-NA0010WM Ryzen 3 2.6 ghz 128gb SSD - 4gb QWERTY - English (US)
    ","
        $189.99
      ","
          $499.99
        ","(None,)","
      Warranty: 12 months
    "
"
      MacBook Pro 15"" (2015) - QWERTY - English (US)
    ","
        $528.03
      ","
          $1,300.00
        ","
        Retina - Core i7 - 2.5 GHz - SSD 512 GB - RAM 16GB
      ","
      Warranty: 12 months
    "
"
      MacBook Pro 15"" (2016) - QWERTY - English (US)
    ","
        $547.00
      ","
          $2,799.00
        ","
        Touch Bar - Retina - Core i7 - 2.7 GHz - SSD 512 GB - RAM 16GB
      ","
      Warranty: 12 months
    "
"
      MacBook Pro 13"" (2017) - QWERTY - English (US)
    ","
        $729.99
      ","
          $2,299.00
        ","
        Touch Bar - Retina - Core i7 - 3.5 GHz - SSD 512 GB - RAM 16GB
      ","
      Warranty: 12 months
    "
"
      MacBook Pro 15"" (2017) - QWERTY - English (US)
    ","
        $675.00
      ","
          $2,799.00
        ","
        Touch Bar - Retina - Core i7 - 2.9 GHz - SSD 512 GB - RAM 16GB
      ","
      Warranty: 12 months
    "
"
      Mighty mouse - White
    ","
        $29.99
      ","
          $45.00
        ","(None,)","
      Warranty: 12 months
    "
"
      Dell OptiPlex 990 Core i5 3.1 GHz GHz - HDD 2 TB RAM 8GB
    ","
        $195.00
      ","
          $1,099.00
        ","(None,)","
      Warranty: 12 months
    "
"
      MacBook Pro 13"" (2012) - QWERTY - English (US)
    ","
        $255.00
      ","
          $1,499.00
        ","
        Core i7 - 2.9 GHz - HDD 750 GB - RAM 8GB
      ","
      Warranty: 12 months
    "
"
      Mac mini (November 2020) M1 3.2 GHz - SSD 256 GB - 8GB
    ","
        $545.00
      ","
          $799.00
        ","(None,)","
      Warranty: 12 months
    "
"
      MacBook Pro 13"" (2017) - QWERTY - English (US)
    ","
        $648.00
      ","
          $1,799.00
        ","
        Touch Bar - Retina - Core i5 - 3.1 GHz - SSD 512 GB - RAM 8GB
      ","
      Warranty: 12 months
    "
"
      MacBook Pro 13"" (2019) - QWERTY - English (US)
    ","
        $699.99
      ","
          $1,699.00
        ","
        Touch Bar - Retina - Core i5 - 2.4 GHz - SSD 256 GB - RAM 8GB
      ","
      Warranty: 12 months
    "
"
      Microsoft Type Cover Keyboard for Surface 3 Qwerty - Black
    ","
        $49.99
      ","
          $130.00
        ","(None,)","
      Warranty: 12 months
    "
"
      Hp 11-G5 11.6-inch (2016) - Celeron N3060 - 4 GB - 16 GB HDD + SSD
    ","
        $92.00
      ","
          $269.00
        ","(None,)","
      Warranty: 12 months
    "
"
      Dell OptiPlex 990 Core i7 3.4 GHz GHz - HDD 500 GB RAM 8GB
    ","
        $229.99
      ","
          $799.00
        ","(None,)","
      Warranty: 12 months
    "
"
      iMac 21.5-inch Retina (Mid-2017) Core i5 3GHz  - HDD 1 TB - 8GB
    ","
        $441.99
      ","
          $1,299.00
        ","(None,)","
      Warranty: 12 months
    "
"
      MacBook Pro 13"" (2020) - QWERTY - English (US)
    ","
        $899.00
      ","
          $2,399.00
        ","
        Touch Bar - Retina - Core i5 - 2.0 GHz - SSD 512 GB - RAM 16GB
      ","
      Warranty: 12 months
    "
"
      MacBook Air 11"" (2015) - QWERTY - English (US)
    ","
        $228.97
      ","
          $899.00
        ","
        Core i5 - 1.6 GHz - SSD 256 GB - RAM 8GB
      ","
      Warranty: 12 months
    "
"
      MacBook Air 13"" (2017) - QWERTY - English (US)
    ","
        $399.00
      ","
          $1,149.00
        ","
        Core i7 - 2.2 GHz - SSD 128 GB - RAM 8GB
      ","
      Warranty: 12 months
    "
"
      MacBook Air 13"" (2017) - QWERTY - English
    ","
        $457.52
      ","
          $1,499.00
        ","
        Core i7 - 2.2 GHz - SSD 256 GB - RAM 8GB
      ","
      Warranty: 12 months
    "
"
      MacBook Air 13"" (2017) - QWERTY - English (US)
    ","
        $522.00
      ","
          $1,199.00
        ","
        Core i5 - 1.8 GHz - SSD 512 GB - RAM 8GB
      ","
      Warranty: 12 months
    "
"
      MacBook Pro 13"" (2017) - QWERTY - English (US)
    ","
        $529.99
      ","
          $1,449.00
        ","
        Retina - Core i5 - 2.3 GHz - SSD 256 GB - RAM 8GB
      ","
      Warranty: 12 months
    "
"
      MacBook Pro 13"" (2019) - QWERTY - English (US)
    ","
        $635.00
      ","
          $1,599.00
        ","
        Touch Bar - Retina - Core i5 - 1.4 GHz - SSD 128 GB - RAM 8GB
      ","
      Warranty: 12 months
    "
"
      Dell Chromebook 11-3180 Celeron N3060 1.6 GHz 16GB SSD - 4GB
    ","
        $49.00
      ","
          $299.00
        ","(None,)","
      Warranty: 12 months
    "
"
      HP Chromebook 11 G4 EE V2W29UT Celeron 2.16 ghz 16gb SSD - 2gb QWERTY - English (US)
    ","
        $58.38
      ","
          $289.99
        ","(None,)","
      Warranty: 12 months
    "
"
      MacBook Air 13"" (2012) - QWERTY - English (US)
    ","
        $153.00
      ","
          $999.00
        ","
        Core i5 - 1.7 GHz - SSD 64 GB - RAM 4GB
      ","
      Warranty: 12 months
    "
"
      MacBook Air 11"" (2014) - QWERTY - English (US)
    ","
        $208.26
      ","
          $899.00
        ","
        Core i5 - 1.4 GHz - SSD 256 GB - RAM 4GB
      ","
      Warranty: 12 months
    "
"
      Hp EliteBook x360 1030 G2 13.3-inch (2017) - Core i7-7600U - 16 GB - HDD 512 GB
    ","
        $499.99
      ","
          $1,250.00
        ","(None,)","
      Warranty: 12 months
    "
"
      Acer Predator Orion 3000 PO3-630G-UW91 Core i5-11400F 2.6 GHz - SSD 512 GB - 8GB
    ","
        $734.99
      ","
          $1,999.00
        ","(None,)","
      Warranty: 12 months
    "
"
      iMac 27-inch Retina (Early 2019) Core i5 3.0GHz  - SSD 32 GB + HDD 1 TB - 8GB
    ","
        $892.00
      ","
          $1,799.00
        ","(None,)","
      Warranty: 12 months
    "
"
      MacBook Pro 15"" (2018) - QWERTY - English (US)
    ","
        $989.00
      ","
          $2,799.00
        ","
        Touch Bar - Retina - Core i7 - 2.2 GHz - SSD 512 GB - RAM 16GB
      ","
      Warranty: 12 months
    "
